Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Jalen Brunson,,,PG,3600,DAL,@BOS,1,104,18,10,102,103,-4%,5,7,6,11,20,17,14.5,11.7,2.9,20.6,0.0,0.0,0.0,2.4,1.5,0.4
Frank Ntilikina,,,PG,3600,NYK,@LAL,2,108,17,6,106,105,-3%,7,5,7,17,17,22,10.7,14.5,6.7,22.2,17.5,11.2,3.1,0.9,0.2,0.1
Ryan Arcidiacono,,,PG,3600,CHI,IND,1,97,11,11,101,101,-11%,3,4,5,19,24,28,17.3,17.9,7.9,27.8,14.5,8.7,2.4,14.5,6.0,1.7
Luc Richard Mbah a Moute,,O,PF,3600,LAC,@PHO,2,119,,,102,111,-6%,5,5,5,16,15,15,8.8,8.8,4.7,13.0,0.0,0.0,0.0,0,0.0,0.0
Chasson Randle,,,SG,3600,WAS,@MIA,1,103,,,102,104,-5%,6,5,5,16,15,15,14.2,13.0,7.3,18.8,16.5,13.2,3.7,13.3,9.5,2.6
Marcin Gortat,2,,C,3600,LAC,@PHO,2,119,14,12,102,111,11%,3,3,4,15,15,17,16.2,15.4,9.5,21.3,14.0,13.0,3.6,25.2,36.1,10.0
Gorgui Dieng,,,C,3600,MIN,ORL,1,109,18,15,100,107,-2%,4,3,5,11,11,14,10.7,14.0,6.4,21.6,12.0,11.8,3.3,16.2,18.7,5.2
Shabazz Napier,1,,PG,3600,BKN,@MEM,1,100,24,17,97,104,-6%,13,6,6,29,16,15,17.0,14.5,3.4,25.6,20.5,17.8,4.9,23.4,14.4,4.0
Shelvin Mack,,,PG,3600,MEM,BKN,1,104,18,11,101,109,-6%,6,4,7,18,17,24,10.4,16.8,8.1,25.5,19.0,13.6,3.8,3.9,1.0,0.3
Ekpe Udoh,,,C,3600,UTA,@CLE,2,109,,,99,113,-10%,3,2,1,6,6,6,7.0,5.8,-0.7,12.3,0.0,0.0,0.0,4.5,7.2,2.0
Ersan Ilyasova,1,,PF,3600,MIL,ATL,2,122,16,13,107,109,8%,10,7,6,14,16,20,16.8,17.8,10.9,24.7,14.0,12.9,3.6,19.4,25.0,6.9
Tony Snell,,,SG,3600,MIL,ATL,2,122,13,12,107,109,9%,4,4,5,16,19,18,9.9,11.6,5.5,17.6,16.0,10.7,3.0,22.8,24.3,6.8
Troy Brown,,,SF,3500,WAS,@MIA,1,103,,,102,104,-2%,4,2,2,12,7,7,5.4,6.3,0.6,12.1,0.0,0.0,0.0,0,0.0,0.0
Ryan Anderson,,,PF,3500,PHO,LAC,1,115,12,5,104,109,0%,0,1,4,7,11,19,3.7,9.0,2.5,15.5,0.0,0.0,0.0,0,0.0,0.0
Channing Frye,,,PF,3500,CLE,UTA,1,100,,,102,104,-7%,5,6,3,7,10,9,5.8,5.7,1.4,10.0,0.0,0.0,0.0,17,16.1,4.6
Daryl Macon,,O,PG,3500,DAL,@BOS,1,104,,,102,103,-4%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jaylen Morris,,,SG,3500,MIL,ATL,2,122,,,107,109,13%,3,3,3,8,7,7,6.8,6.8,1.3,12.2,0.0,0.0,0.0,0,0.0,0.0
Kyle Korver,,,SG,3500,UTA,@CLE,2,109,18,12,99,113,3%,7,7,6,20,20,18,13.2,13.3,5.8,20.7,20.5,14.2,4.1,21.7,12.9,3.7
Jerryd Bayless,,,PG,3500,MIN,ORL,1,109,,,100,107,-7%,2,3,4,7,9,10,4.5,6.0,0.4,11.6,0.0,0.0,0.0,0,0.0,0.0
Jared Dudley,,,SF,3500,BKN,@MEM,1,100,11,8,97,104,-5%,5,5,5,26,28,23,14.5,13.1,5.4,20.8,24.5,13.2,3.8,25.8,3.2,0.9
Jason Smith,,,PF,3500,MIL,ATL,2,122,,,107,109,8%,2,3,3,5,8,10,5.1,8.8,2.4,15.2,0.0,0.0,0.0,14,17.4,5.0
Jerome Robinson,,O,PG,3500,LAC,@PHO,2,119,,,102,111,1%,2,2,3,6,6,6,4.0,3.9,2.7,5.0,0.0,0.0,0.0,0,0.0,0.0
Courtney Lee,,,SG,3500,NYK,@LAL,2,108,,,106,105,8%,4,5,5,17,17,15,11.7,12.9,3.7,22.1,0.0,0.0,0.0,0,0.0,0.0
Donte DiVincenzo,,,SG,3500,MIL,ATL,2,122,15,9,107,109,9%,2,4,5,6,13,16,10.1,11.5,4.2,18.8,0.0,0.0,0.0,0,0.0,0.0
Thabo Sefolosha,,,SF,3500,UTA,@CLE,2,109,11,11,99,113,2%,5,3,2,15,14,11,12.9,8.9,1.8,16.0,11.5,9.2,2.6,11.3,10.2,2.9
Vince Carter,,,SF,3500,ATL,@MIL,1,108,17,11,105,102,3%,7,7,7,16,17,18,17.1,14.9,8.3,21.4,17.5,14.1,4.0,8.9,9.5,2.7
Trevon Duval,,,PG,3500,MIL,ATL,2,122,,,107,109,13%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Rawle Alkins,,,SG,3500,CHI,IND,1,97,,,101,101,-11%,2,2,2,2,2,2,6.3,6.3,5.0,7.6,0.0,0.0,0.0,0,0.0,0.0
Robin Lopez,,,C,3500,CHI,IND,1,97,17,10,101,101,-7%,3,7,5,15,17,18,13.0,12.3,5.4,19.2,15.0,10.5,3.0,7.5,-2.0,-0.6
Milos Teodosic,,,PG,3500,LAC,@PHO,2,119,,,102,111,9%,4,4,3,11,11,10,5.1,6.9,1.0,12.8,0.0,0.0,0.0,0,0.0,0.0
Donte Grantham,,,SF,3500,OKC,@POR,1,111,,,102,107,10%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
John Wall,,O,PG,3500,WAS,@MIA,1,103,30,19,102,104,-5%,13,17,18,33,34,35,38.8,41.8,27.5,56.1,0.0,0.0,0.0,0,0.0,0.0
Omri Casspi,,,SF,3500,MEM,BKN,1,104,18,17,101,109,-4%,4,4,4,10,11,12,10.8,11.3,3.8,18.9,0.0,0.0,0.0,4.3,0.0,0.0
Patrick Patterson,,,PF,3500,OKC,@POR,1,111,13,8,102,107,10%,4,3,4,15,12,15,7.8,9.2,3.4,14.9,12.5,8.1,2.3,13.8,7.7,2.2
Evan Turner,1,,SF,3500,POR,OKC,2,112,18,11,106,100,2%,6,7,7,21,21,25,12.6,20.2,12.5,27.8,18.5,15.2,4.3,23.9,23.7,6.8
Timofey Mozgov,,O,C,3500,ORL,@MIN,1,105,,,103,108,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Brandon Sampson,,,SG,3500,CHI,IND,1,97,,,101,101,-11%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Theo Pinson,,O,SF,3500,BKN,@MEM,1,100,,,97,104,-6%,5,2,2,14,9,9,6.3,6.3,-3.0,15.6,0.0,0.0,0.0,0,0.0,0.0
Zach Collins,,,PF,3500,POR,OKC,2,112,16,13,106,100,-6%,6,6,6,20,18,19,15.0,16.3,8.8,23.9,15.5,13.0,3.7,15.2,10.8,3.1
Tony Bradley,,O,C,3500,UTA,@CLE,2,109,,,99,113,-10%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ike Anigbogu,,O,PF,3500,IND,@CHI,3,104,,,101,107,13%,1,1,1,2,2,2,2.4,2.4,1.3,3.4,0.0,0.0,0.0,0,0.0,0.0
Yante Maten,,O,PF,3500,MIA,WAS,1,109,,,104,110,7%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kevin Love,,O,PF,3500,CLE,UTA,1,100,,,102,104,-7%,14,16,16,31,34,34,40.2,40.2,27.2,53.2,0.0,0.0,0.0,0,0.0,0.0
Terrance Ferguson,,,SG,3500,OKC,@POR,1,111,10,4,102,107,-2%,7,5,5,22,16,21,7.4,9.0,3.7,14.3,22.0,10.4,3.0,26.8,9.2,2.6
Anthony Tolliver,,,PF,3500,MIN,ORL,1,109,12,10,100,107,-5%,4,3,3,14,8,14,6.5,9.4,1.9,16.8,15.0,10.3,2.9,29.8,21.3,6.1
TJ Leaf,,,PF,3500,IND,@CHI,3,104,,,101,107,0%,1,2,2,3,6,7,5.9,5.0,0.3,9.6,0.0,0.0,0.0,0,0.0,0.0
Devin Harris,,,PG,3500,DAL,@BOS,1,104,18,13,102,103,-4%,4,5,5,14,15,16,10.8,13.2,4.9,21.6,16.0,11.7,3.3,16.1,16.7,4.8
Elie Okobo,,,PG,3500,PHO,LAC,1,115,19,8,104,109,10%,4,4,6,11,16,19,11.0,13.4,3.8,23.0,0.0,0.0,0.0,16.7,9.4,2.7
Aaron Holiday,,,SG,3500,IND,@CHI,3,104,23,14,101,107,4%,1,4,5,2,9,11,9.3,11.3,1.6,21.0,0.0,0.0,0.0,0,0.0,0.0
Melvin Frazier,,,SF,3500,ORL,@MIN,1,105,,,103,108,9%,2,1,1,5,5,5,1.1,1.1,-1.7,3.8,0.0,0.0,0.0,0,0.0,0.0
Isaac Bonga,,O,SF,3500,LAL,NYK,1,115,,,103,112,1%,2,1,1,5,3,3,4.5,4.5,-0.1,9.0,0.0,0.0,0.0,0,0.0,0.0
Alize Johnson,,O,PF,3500,IND,@CHI,3,104,,,101,107,0%,1,1,1,2,3,3,2.5,2.5,0.0,4.9,0.0,0.0,0.0,0,0.0,0.0
Anfernee Simons,,,SG,3500,POR,OKC,2,112,,,106,100,2%,4,4,3,11,9,7,3.9,3.2,-1.3,7.8,0.0,0.0,0.0,0,0.0,0.0
Sviatoslav Mykhailiuk,,,SG,3500,LAL,NYK,1,115,16,6,103,112,6%,2,1,3,8,5,10,2.3,5.7,0.5,10.8,11.5,8.2,2.3,11.4,5.0,1.4
Moritz Wagner,,,C,3500,LAL,NYK,1,115,,,103,112,14%,1,3,3,3,8,6,7.1,5.7,-0.2,11.7,0.0,0.0,0.0,0,0.0,0.0
Kostas Antetokounmpo,,O,PF,3500,DAL,@BOS,1,104,,,102,103,-8%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ray Spalding,,O,PF,3500,DAL,@BOS,1,104,,,102,103,-8%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Angel Delgado,,O,C,3500,LAC,@PHO,2,119,,,102,111,11%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Deonte Burton,,O,SG,3500,OKC,@POR,1,111,,,102,107,-3%,2,2,3,3,10,9,4.5,6.2,-1.2,13.6,0.0,0.0,0.0,0,0.0,0.0
Duncan Robinson,,O,SG,3500,MIA,WAS,1,109,,,104,110,12%,2,2,2,7,7,7,3.8,3.8,-1.1,8.6,0.0,0.0,0.0,0,0.0,0.0
Ryan Broekhoff,,,PF,3500,DAL,@BOS,1,104,,,102,103,-4%,3,3,2,4,8,5,7.0,3.3,-1.3,7.9,0.0,0.0,0.0,0,0.0,0.0
Jared Terrell,,,SG,3500,MIN,ORL,1,109,,,100,107,-7%,5,5,5,12,12,12,7.6,7.6,-1.0,16.2,0.0,0.0,0.0,0,0.0,0.0
Jaylen Adams,,O,SG,3500,ATL,@MIL,1,108,,,105,102,-7%,1,1,1,4,3,3,2.7,2.6,0.4,4.7,0.0,0.0,0.0,0,0.0,0.0
Allonzo Trier,1,,SG,3500,NYK,@LAL,2,108,21,12,106,105,-3%,9,10,8,21,21,23,12.2,17.4,7.2,27.5,20.0,15.0,4.3,8.8,3.9,1.1
Grayson Allen,,O,SG,3500,UTA,@CLE,2,109,,,99,113,3%,3,3,4,5,9,10,5.0,4.6,0.7,8.5,0.0,0.0,0.0,0,0.0,0.0
Raymond Felton,,,PG,3500,OKC,@POR,1,111,,,102,107,-3%,3,3,5,12,8,11,7.1,10.3,4.5,16.1,0.0,0.0,0.0,0,0.0,0.0
Udonis Haslem,,,PF,3500,MIA,WAS,1,109,,,104,110,7%,2,2,2,5,5,5,2.7,2.7,-1.2,6.5,0.0,0.0,0.0,0,0.0,0.0
Gary Trent,,,SG,3500,POR,OKC,2,112,,,106,100,2%,5,4,4,6,7,7,4.6,4.6,0.5,8.7,0.0,0.0,0.0,0,0.0,0.0
Jevon Carter,,,PG,3500,MEM,BKN,1,104,,,101,109,-6%,1,4,4,4,14,14,7.5,7.5,-1.1,16.1,0.0,0.0,0.0,11.1,11.0,3.1
Kenneth Faried,,,PF,3500,BKN,@MEM,1,100,,,97,104,-8%,7,4,3,16,10,8,10.5,8.4,-1.8,18.6,0.0,0.0,0.0,0,0.0,0.0
Johnathan Williams,,O,PF,3500,LAL,NYK,1,115,,,103,112,14%,1,2,3,6,11,13,5.9,9.6,1.7,17.5,0.0,0.0,0.0,0,0.0,0.0
George King,,O,SF,3500,PHO,LAC,1,115,,,104,109,9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Keita Bates-Diop,,O,SF,3500,MIN,ORL,1,109,,,100,107,-1%,4,3,3,27,20,20,3.5,3.5,-1.6,8.6,0.0,0.0,0.0,0,0.0,0.0
Dzanan Musa,,O,SF,3500,BKN,@MEM,1,100,,,97,104,-2%,2,2,2,3,3,4,1.4,2.9,-0.1,5.9,0.0,0.0,0.0,0,0.0,0.0
Hamidou Diallo,,,SG,3500,OKC,@POR,1,111,17,12,102,107,-2%,3,3,4,13,12,13,5.8,10.3,3.5,17.2,10.5,8.4,2.4,7.5,6.9,2.0
Chandler Hutchison,4,,SF,3500,CHI,IND,1,97,12,9,101,101,-6%,5,3,4,18,20,18,10.2,11.0,6.0,16.0,28.5,18.4,5.3,26.5,7.6,2.2
Luol Deng,,,SF,3500,MIN,ORL,1,109,,,100,107,-1%,2,3,3,6,8,8,9.5,9.5,6.4,12.5,0.0,0.0,0.0,0,0.0,0.0
Omari Spellman,,O,PF,3500,ATL,@MIL,1,108,16,13,105,102,1%,2,4,6,8,14,18,13.7,16.1,4.7,27.6,0.0,0.0,0.0,0,0.0,0.0
Joakim Noah,,,C,3500,MEM,BKN,1,104,,,101,109,15%,1,2,3,6,10,13,8.2,10.7,4.8,16.6,0.0,0.0,0.0,4.5,5.4,1.5
J.R. Smith,,O,SG,3500,CLE,UTA,1,100,,,102,104,-13%,8,10,7,15,25,20,14.9,14.4,2.9,25.9,0.0,0.0,0.0,0,0.0,0.0
Dirk Nowitzki,,,PF,3500,DAL,@BOS,1,104,,,102,103,-8%,4,5,4,9,11,9,9.4,7.0,2.1,11.9,11.0,9.2,2.6,16.1,1.4,0.4
Yuta Watanabe,,O,SF,3500,MEM,BKN,1,104,,,101,109,-6%,2,1,1,6,5,5,4.0,4.0,2.8,5.2,0.0,0.0,0.0,0,0.0,0.0
Guerschon Yabusele,,,PF,3500,BOS,DAL,1,109,,,103,106,-3%,1,2,2,8,8,6,5.7,5.0,0.3,9.7,11.5,9.5,2.7,2.4,0.0,0.0
David Nwaba,,O,SG,3500,CLE,UTA,1,100,16,12,102,104,-13%,5,5,5,18,16,16,10.5,12.8,5.0,20.5,0.0,0.0,0.0,0,0.0,0.0
Cameron Payne,,,PG,3500,CHI,IND,1,97,18,11,101,101,-11%,1,4,5,5,13,17,10.1,13.2,3.8,22.6,0.0,0.0,0.0,,0.0,0.0
Isaiah Hicks,,O,PF,3500,NYK,@LAL,2,108,,,106,105,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Troy Daniels,,,SG,3500,PHO,LAC,1,115,18,11,104,109,-8%,4,3,5,10,10,14,7.5,10.4,2.5,18.2,0.0,0.0,0.0,0,0.0,0.0
Treveon Graham,,,SG,3500,BKN,@MEM,1,100,,,97,104,-2%,2,2,2,14,14,14,3.7,3.7,0.5,6.8,0.0,0.0,0.0,11.7,4.9,1.4
Tyler Cavanaugh,,O,PF,3500,UTA,@CLE,2,109,,,99,113,-2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Christian Wood,,O,PF,3500,MIL,ATL,2,122,,,107,109,8%,5,3,3,9,6,6,8.2,7.5,0.6,14.4,0.0,0.0,0.0,0,0.0,0.0
Ron Baker,,,SG,3500,WAS,@MIA,1,103,,,102,104,-1%,2,2,1,15,12,11,5.4,4.6,0.1,9.0,0.0,0.0,0.0,0,0.0,0.0
Semi Ojeleye,,,SF,3500,BOS,DAL,1,109,14,8,103,106,-3%,3,3,3,12,11,11,8.2,6.6,0.5,12.7,19.5,12.4,3.5,16.8,8.4,2.4
Troy Caupain,,O,PG,3500,ORL,@MIN,1,105,,,103,108,-6%,2,2,2,5,5,5,7.4,7.4,0.7,14.2,0.0,0.0,0.0,0,0.0,0.0
Abdel Nader,,,SF,3500,OKC,@POR,1,111,,,102,107,11%,6,7,2,14,17,7,12.9,5.0,-1.7,11.7,12.0,8.1,2.3,13.9,1.2,0.3
Jonathon Simmons,,,SF,3500,ORL,@MIN,1,105,20,8,103,108,9%,9,7,8,20,20,22,13.3,15.1,9.1,21.0,18.5,13.5,3.9,21.1,22.7,6.5
Royce O'Neale,,,SF,3500,UTA,@CLE,2,109,13,8,99,113,2%,2,2,4,13,10,16,7.5,10.5,2.8,18.3,0.0,0.0,0.0,10.9,10.7,3.1
Matthew Dellavedova,,O,PG,3500,CLE,UTA,1,100,22,13,102,104,3%,7,7,4,19,19,13,9.7,10.2,2.2,18.2,0.0,0.0,0.0,0,0.0,0.0
Jalen Jones,,,SG,3500,CLE,UTA,1,100,,,102,104,-3%,5,4,3,16,14,11,10.3,8.1,1.0,15.2,15.0,10.3,2.9,12.8,4.2,1.2
Wesley Iwundu,,,SF,3500,ORL,@MIN,1,105,14,7,103,108,9%,4,4,4,22,16,17,9.0,9.0,3.6,14.3,0.0,0.0,0.0,14.9,14.1,4.0
Wayne Selden Jr.,,,SG,3500,MEM,BKN,1,104,19,9,101,109,-9%,1,4,5,5,9,14,7.4,9.5,1.7,17.2,0.0,0.0,0.0,,0.0,0.0
Naz Long,,,SG,3500,UTA,@CLE,2,109,,,99,113,3%,2,2,2,6,6,6,1.3,1.3,-0.5,3.0,0.0,0.0,0.0,0,0.0,0.0
Georges Niang,,,PF,3500,UTA,@CLE,2,109,,,99,113,2%,4,2,3,6,5,7,3.3,5.8,0.5,11.1,0.0,0.0,0.0,3.3,1.2,0.3
Caris LeVert,,O,SG,3500,BKN,@MEM,1,100,27,19,97,104,-2%,10,15,15,26,29,31,32.1,32.5,21.2,43.8,0.0,0.0,0.0,0,0.0,0.0
Alex Abrines,,O,SG,3500,OKC,@POR,1,111,12,7,102,107,-2%,5,5,5,21,20,20,11.7,10.5,3.4,17.5,0.0,0.0,0.0,0,0.0,0.0
Raul Neto,,,PG,3500,UTA,@CLE,2,109,,,99,113,13%,4,2,3,11,10,10,7.4,9.2,2.5,15.9,0.0,0.0,0.0,4.5,5.0,1.4
Nik Stauskas,,,SG,3500,POR,OKC,2,112,18,11,106,100,2%,4,4,5,12,12,16,6.2,10.8,3.8,17.9,11.5,8.0,2.3,0,0.0,0.0
Jaron Blossomgame,,,SF,3500,CLE,UTA,1,100,11,10,102,104,-3%,3,4,4,13,20,18,9.5,11.4,1.8,21.0,0.0,0.0,0.0,0,0.0,0.0
Tyrone Wallace,,,SG,3500,LAC,@PHO,2,119,20,10,102,111,1%,3,3,4,10,11,9,9.8,7.5,0.0,14.9,0.0,0.0,0.0,12.7,16.1,4.6
Alex Poythress,,O,PF,3500,ATL,@MIL,1,108,14,13,105,102,-3%,4,3,4,10,10,14,9.0,11.2,2.6,19.7,0.0,0.0,0.0,0,0.0,0.0
Aron Baynes,,O,C,3500,BOS,DAL,1,109,17,15,103,106,-4%,5,4,4,16,18,15,13.2,14.4,6.5,22.3,0.0,0.0,0.0,0,0.0,0.0
Davon Reed,,O,SG,3500,IND,@CHI,3,104,,,101,107,0%,1,0,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Sterling Brown,1,P,SG,3500,MIL,ATL,2,122,14,10,107,109,9%,5,5,4,17,15,14,10.4,10.5,3.0,18.1,16.0,12.3,3.5,0,0.0,0.0
Damyean Dotson,1,,SG,3500,NYK,@LAL,2,108,16,12,106,105,8%,4,5,9,17,20,25,11.4,18.4,9.1,27.7,20.0,14.7,4.2,24.2,29.9,8.5
Amile Jefferson,,,PF,3500,ORL,@MIN,1,105,,,103,108,4%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Johnathan Motley,,O,PF,3500,LAC,@PHO,2,119,,,102,111,-6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Sindarius Thornwell,,,SG,3500,LAC,@PHO,2,119,,,102,111,1%,0,1,1,3,4,6,2.9,3.4,-0.5,7.4,0.0,0.0,0.0,1.9,-1.0,-0.3
Jarell Martin,,,PF,3500,ORL,@MIN,1,105,,,103,108,4%,2,1,3,6,5,8,3.6,5.7,-0.6,12.0,0.0,0.0,0.0,3.8,3.0,0.9
Jake Layman,,,SF,3500,POR,OKC,2,112,14,12,106,100,7%,2,1,4,7,7,14,4.9,10.1,1.8,18.5,0.0,0.0,0.0,12.3,11.2,3.2
Justin Anderson,,,SG,3500,ATL,@MIL,1,108,,,105,102,3%,2,3,3,6,11,8,6.8,7.9,0.6,15.1,0.0,0.0,0.0,16.4,4.4,1.3
Doug McDermott,,P,SF,3500,IND,@CHI,3,104,15,11,101,107,-4%,8,5,5,19,19,18,7.3,10.5,2.9,18.1,16.0,9.2,2.6,16,9.2,2.6
James Nunnally,,,SF,3500,MIN,ORL,1,109,,,100,107,-1%,0,1,2,2,3,5,2.7,3.4,-0.3,7.1,0.0,0.0,0.0,2.5,0.0,0.0
Jawun Evans,,O,PG,3500,PHO,LAC,1,115,,,104,109,10%,1,3,3,8,12,12,7.5,7.5,0.3,14.7,0.0,0.0,0.0,0,0.0,0.0
Caleb Swanigan,,O,PF,3500,POR,OKC,2,112,,,106,100,-3%,1,1,2,6,6,8,3.2,6.2,-0.9,13.4,0.0,0.0,0.0,0,0.0,0.0
PJ Dozier,,,SG,3500,BOS,DAL,1,109,,,103,106,4%,1,2,2,1,3,3,3.9,3.9,-2.9,10.7,0.0,0.0,0.0,2.4,0.0,0.0
Antonio Blakeney,,,SG,3500,CHI,IND,1,97,25,11,101,101,-3%,8,6,8,14,12,16,10.4,12.2,4.8,19.6,18.5,13.6,3.9,19.9,22.6,6.5
Isaiah Briscoe,,,PG,3500,ORL,@MIN,1,105,,,103,108,-6%,3,2,2,16,9,8,2.3,3.2,-1.1,7.5,0.0,0.0,0.0,3.8,0.0,0.0
Boban Marjanovic,,,C,3500,LAC,@PHO,2,119,24,26,102,111,11%,2,4,4,6,11,11,9.6,15.2,4.1,26.3,0.0,0.0,0.0,0,0.0,0.0
Salah Mejri,,,C,3500,DAL,@BOS,1,104,,,102,103,-7%,5,2,2,9,7,6,7.0,6.1,0.8,11.4,0.0,0.0,0.0,0,0.0,0.0
Trey Burke,,,PG,3500,NYK,@LAL,2,108,26,16,106,105,-3%,6,7,11,11,15,21,13.3,19.9,7.5,32.2,0.0,0.0,0.0,19,21.7,6.2
Meyers Leonard,,,PF,3500,POR,OKC,2,112,16,16,106,100,-6%,3,4,4,16,17,14,11.2,12.6,4.0,21.1,15.5,13.7,3.9,17.8,17.1,4.9
Miles Plumlee,,O,C,3500,ATL,@MIL,1,108,,,105,102,-5%,2,2,3,9,7,10,5.8,9.6,1.8,17.4,0.0,0.0,0.0,0,0.0,0.0
Chandler Parsons,,O,SF,3500,MEM,BKN,1,104,,,101,109,-4%,4,6,6,12,15,15,9.6,9.6,1.4,17.8,0.0,0.0,0.0,0,0.0,0.0
Alex Caruso,,O,PG,3500,LAL,NYK,1,115,,,103,112,2%,0,0,0,3,3,3,0.6,0.6,-0.2,1.4,0.0,0.0,0.0,0,0.0,0.0
Timothe Luwawu,,,SG,3500,OKC,@POR,1,111,,,102,107,-2%,1,1,2,2,2,7,0.8,4.3,-3.3,11.8,0.0,0.0,0.0,0,0.0,0.0
Dragan Bender,,,PF,3500,PHO,LAC,1,115,,,104,109,0%,2,3,2,7,14,8,7.6,4.8,0.0,9.7,0.0,0.0,0.0,0,0.0,0.0
Tyler Dorsey,,,SG,3500,ATL,@MIL,1,108,,,105,102,3%,2,3,4,3,6,10,5.4,7.3,2.0,12.5,0.0,0.0,0.0,16.1,20.4,5.8
Ivan Rabb,,,PF,3500,MEM,BKN,1,104,,,101,109,-5%,4,2,2,10,7,6,8.0,6.5,1.0,12.1,0.0,0.0,0.0,0,0.0,0.0
Andre Roberson,,O,SG,3500,OKC,@POR,1,111,,,102,107,-2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Cristiano Felicio,,,C,3500,CHI,IND,1,97,12,12,101,101,-7%,3,1,2,6,5,11,4.2,8.0,1.0,15.0,0.0,0.0,0.0,0,0.0,0.0
John Henson,,O,PF,3500,CLE,UTA,1,100,,,102,104,-7%,3,4,5,7,10,14,9.9,16.2,7.7,24.7,0.0,0.0,0.0,0,0.0,0.0
Lance Thomas,,,SF,3500,NYK,@LAL,2,108,12,6,106,105,3%,3,3,3,10,15,15,7.9,9.0,3.2,14.8,0.0,0.0,0.0,0,0.0,0.0
Devin Robinson,,O,SF,3500,WAS,@MIA,1,103,,,102,104,-2%,4,4,4,9,9,9,13.8,13.8,3.5,24.2,0.0,0.0,0.0,0,0.0,0.0
Brad Wanamaker,,,PG,3500,BOS,DAL,1,109,,,103,106,4%,1,1,2,5,6,7,3.4,5.6,2.1,9.1,0.0,0.0,0.0,21.9,24.4,7.0
Jarnell Stokes,,O,PF,3500,MEM,BKN,1,104,,,101,109,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
D.J. Wilson,,,PF,3500,MIL,ATL,2,122,,,107,109,8%,4,5,5,19,20,18,16.8,16.0,8.1,23.9,0.0,0.0,0.0,22,23.3,6.7
Kyle O'Quinn,,,C,3500,IND,@CHI,3,104,,,101,107,13%,3,3,3,4,8,7,10.8,9.1,-2.0,20.3,0.0,0.0,0.0,0,0.0,0.0
Edmond Sumner,,O,PG,3500,IND,@CHI,3,104,,,101,107,4%,2,1,1,4,4,4,1.3,1.4,-0.2,3.1,0.0,0.0,0.0,0,0.0,0.0
Mike Scott,,,PF,3500,LAC,@PHO,2,119,15,9,102,111,-6%,6,4,5,15,14,16,7.0,12.3,5.5,19.0,11.0,8.5,2.4,8.2,9.1,2.6
Wade Baldwin IV,,,PG,3500,POR,OKC,2,112,,,106,100,-11%,2,2,2,6,6,6,6.2,3.6,-0.8,8.0,0.0,0.0,0.0,0,0.0,0.0
Kristaps Porzingis,,O,PF,3500,NYK,@LAL,2,108,,,106,105,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mario Hezonja,,,SF,3500,NYK,@LAL,2,108,21,8,106,105,8%,0,4,7,4,10,17,7.5,13.2,3.7,22.6,0.0,0.0,0.0,13.5,18.9,5.4
C.J. Williams,,O,SG,3500,MIN,ORL,1,109,,,100,107,3%,2,3,2,6,9,9,3.8,2.8,-1.8,7.4,0.0,0.0,0.0,0,0.0,0.0
