Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Jayson Tatum,5,,PF,6100,BOS,DAL,1,109,21,16,103,106,-5%,13,11,13,33,33,32,29.5,30.8,22.1,39.4,34.0,34.8,5.7,31.2,26.2,4.3
Al Horford,1,,C,6000,BOS,DAL,1,109,19,18,103,106,-3%,8,10,10,24,25,29,26.2,30.3,22.6,38.0,26.0,28.0,4.7,24.9,36.6,6.1
Jarrett Allen,,,C,6000,BKN,@MEM,1,100,17,20,97,104,-12%,6,7,8,26,23,27,24.7,28.4,19.2,37.6,26.5,26.2,4.4,26.1,34.4,5.7
Tristan Thompson,0,,C,6000,CLE,UTA,1,100,18,20,102,104,-1%,8,9,10,21,29,30,31.4,30.9,17.7,44.2,26.0,26.5,4.4,27.5,22.9,3.8
Rajon Rondo,,O,PG,6000,LAL,NYK,1,115,20,14,103,112,1%,7,6,8,21,19,24,19.9,24.5,13.8,35.1,0.0,0.0,0.0,0,0.0,0.0
Emmanuel Mudiay,4,,PG,5900,NYK,@LAL,2,108,25,16,106,105,-3%,16,16,12,28,30,27,29.3,26.1,13.8,38.5,29.5,27.8,4.7,33.2,31.4,5.3
Thaddeus Young,3,,PF,5900,IND,@CHI,3,104,17,15,101,107,0%,10,12,10,31,31,30,28.6,26.9,16.7,37.2,31.5,27.5,4.7,41.2,32.0,5.4
Harrison Barnes,,,SF,5900,DAL,@BOS,1,104,23,15,102,103,-7%,13,14,15,29,32,33,29.4,27.7,19.0,36.5,33.0,25.6,4.3,31.8,24.1,4.1
Wendell Carter,1,,PF,5900,CHI,IND,1,97,19,15,101,101,-1%,8,9,9,23,24,25,23.4,25.5,14.0,37.0,27.0,26.1,4.4,42.5,41.1,7.0
Darren Collison,,,PG,5900,IND,@CHI,3,104,17,15,101,107,4%,7,8,8,27,27,28,28.2,24.8,14.3,35.3,27.5,23.2,3.9,25,8.2,1.4
Jeff Green,1,,SF,5800,WAS,@MIA,1,103,16,15,102,104,-2%,13,11,8,37,36,27,30.7,22.2,11.5,32.9,33.5,24.3,4.2,35.3,20.7,3.6
Alex Len,,,C,5800,ATL,@MIL,1,108,22,15,105,102,-5%,18,16,9,26,26,21,33.7,21.6,9.6,33.6,24.0,23.4,4.0,21.4,29.1,5.0
Kevin Knox,6,,PF,5800,NYK,@LAL,2,108,22,10,106,105,3%,14,16,12,40,39,26,26.5,20.0,8.5,31.6,37.0,28.5,4.9,37,24.5,4.2
Joe Ingles,3,,SF,5800,UTA,@CLE,2,109,18,13,99,113,2%,9,10,10,32,32,31,28.6,26.9,18.2,35.6,33.0,27.7,4.8,27.3,31.3,5.4
Rondae Hollis-Jefferson,,O,PF,5700,BKN,@MEM,1,100,21,13,97,104,-5%,12,9,9,30,25,25,23.6,23.1,13.6,32.6,0.0,0.0,0.0,0,0.0,0.0
Al-Farouq Aminu,2,,PF,5700,POR,OKC,2,112,13,12,106,100,-3%,8,8,7,30,31,30,28.2,23.4,15.6,31.2,32.0,26.4,4.6,32.8,37.0,6.5
Gordon Hayward,3,,SF,5700,BOS,DAL,1,109,19,15,103,106,-5%,12,9,9,27,27,27,23.4,24.4,14.8,33.9,30.5,29.7,5.2,30.1,42.2,7.4
Malcolm Brogdon,2,,SG,5700,MIL,ATL,2,122,20,17,107,109,13%,11,11,12,28,28,30,27.2,26.6,19.3,34.0,28.0,27.4,4.8,19.5,24.6,4.3
Goran Dragic,,O,PG,5700,MIA,WAS,1,109,27,14,104,110,12%,11,12,13,19,26,29,25.0,26.7,15.0,38.4,0.0,0.0,0.0,0,0.0,0.0
Jerami Grant,3,,PF,5600,OKC,@POR,1,111,14,14,102,107,11%,11,11,9,32,33,31,29.7,25.1,17.4,32.7,34.0,26.7,4.8,27.6,18.4,3.3
Markieff Morris,,O,PF,5600,WAS,@MIA,1,103,19,13,102,104,-1%,12,11,10,31,26,26,22.5,23.2,11.7,34.7,0.0,0.0,0.0,0,0.0,0.0
Brook Lopez,1,,C,5600,MIL,ATL,2,122,17,14,107,109,10%,15,13,10,30,29,28,29.8,25.0,16.6,33.4,27.5,26.5,4.7,21.9,17.4,3.1
Dewayne Dedmon,,,C,5500,ATL,@MIL,1,108,16,14,105,102,-5%,10,9,8,28,28,25,29.4,25.7,15.4,36.0,27.0,26.1,4.7,21,16.2,2.9
DeMarre Carroll,1,,SF,5500,BKN,@MEM,1,100,18,11,97,104,-5%,12,9,8,32,30,24,23.0,17.6,8.8,26.4,28.5,21.5,3.9,27.1,27.5,5.0
Enes Kanter,1,,C,5500,NYK,@LAL,2,108,22,22,106,105,8%,9,9,11,19,20,26,21.6,30.8,18.9,42.7,19.5,23.6,4.3,26.8,46.5,8.5
Luke Kornet,2,,PF,5500,NYK,@LAL,2,108,,,106,105,-5%,10,9,5,28,23,12,24.9,12.5,-0.6,25.5,27.5,26.0,4.7,21.2,16.5,3.0
Bobby Portis,,O,PF,5500,CHI,IND,1,97,,,101,101,-1%,16,13,12,24,21,24,23.0,25.5,15.8,35.3,0.0,0.0,0.0,0,0.0,0.0
Bojan Bogdanovic,1,,SF,5500,IND,@CHI,3,104,19,15,101,107,-4%,11,10,11,30,31,32,26.7,24.2,17.0,31.4,31.5,22.1,4.0,39.9,26.2,4.8
Taurean Waller-Prince,,O,SF,5500,ATL,@MIL,1,108,22,12,105,102,-3%,11,11,12,30,30,29,22.6,25.1,17.1,33.0,0.0,0.0,0.0,0,0.0,0.0
Collin Sexton,,,PG,5400,CLE,UTA,1,100,25,11,102,104,3%,15,14,14,29,30,30,22.5,22.7,14.2,31.3,31.5,23.8,4.4,29.6,17.7,3.3
DeAndre Bembry,1,,SF,5400,ATL,@MIL,1,108,18,10,105,102,-3%,9,8,8,27,29,24,23.1,21.5,12.1,30.8,28.0,23.4,4.3,22.7,23.4,4.3
